0	6.5	7
10	6.5	7.5
20	6.5	8
30	6.5	7.5
40	7	7.5
50	8.5	8
60	10.5	7.5
70	17	7.5
80	29.5	7.5
90	43	8
100	46	7.5
110	58	7.5
120	33.5	8
130	33.5	7.5
140	36	7
150	29	8
160	28.5	8
170	30	7.5
180	30.5	7.5
190	32.5	7.5
200	32.5	8
210	27.5	7.5
220	26	7
230	27	7.5
240	36.5	7.5
250	35	8
260	31.5	7.5
270	32	7.5
280	31.5	7.5
290	30.5	7.5
300	29.5	8
310	30.5	7.5
320	30	8
330	25	7.5
340	24	7.5
350	26	7.5
360	27.5	8
370	26	7.5
380	31.5	7.5
390	32	7
400	33	7.5
410	31	8
420	30.5	7.5
430	33.5	7.5
440	37	8
450	35	7.5
460	29	7.5
470	30.5	7.5
480	31.5	8
490	36	7.5
500	38	7.5
510	30.5	8
520	29.5	7.5
530	26	7.5
540	26	7.5
550	31.5	8
560	38.5	7.5
570	38.5	7
580	33.5	7.5
590	32.5	7.5
600	34	7.5
